timestamp,open,high,low,close,volume,amount,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5
2022-09-30 09:25:00,11.87,11.87,11.87,11.87,354456,420739272.0,11.87,11.86,11.85,11.84,11.83,11.88,11.89,11.9,11.91,11.92,20144,34000,78100,31300,20300,23100,5900,124100,11000,10000
2022-09-30 09:30:03,11.87,11.9,11.86,11.88,371600,441298944.0,11.88,11.87,11.86,11.85,11.84,11.89,11.9,11.91,11.92,11.93,40300,64700,36744,115600,48700,100,118100,14100,16600,7900
2022-09-30 09:30:06,11.88,11.9,11.87,11.87,182600,216974100.0,11.87,11.86,11.85,11.84,11.83,11.88,11.89,11.9,11.91,11.92,54100,37844,117100,48800,66200,6200,10300,70100,14100,17600
2022-09-30 09:30:09,11.88,11.9,11.87,11.88,69400,82410900.0,11.87,11.86,11.85,11.84,11.83,11.88,11.9,11.91,11.92,11.93,45800,41944,115100,48800,66200,38400,61200,14100,17600,8900
2022-09-30 09:30:12,11.88,11.88,11.87,11.88,15100,17931100.0,11.87,11.86,11.85,11.84,11.83,11.88,11.89,11.9,11.91,11.92,2200,42144,120000,48800,66200,34400,11300,60900,14100,18100
2022-09-30 09:30:15,11.87,11.88,11.86,11.88,73500,87241200.0,11.86,11.85,11.84,11.83,11.82,11.88,11.89,11.9,11.91,11.92,6844,121700,48800,66200,134500,45400,11300,60900,14700,18100
2022-09-30 09:30:18,11.88,11.88,11.87,11.88,25400,30169400.0,11.87,11.86,11.85,11.84,11.83,11.88,11.89,11.9,11.91,11.92,2300,9844,121800,48800,66300,28800,11300,60900,14700,18100
2022-09-30 09:30:21,11.88,11.89,11.87,11.88,34700,41225200.0,11.88,11.87,11.86,11.85,11.84,11.89,11.9,11.91,11.92,11.93,27200,13400,9844,122600,49000,9200,60900,14700,18100,8900
2022-09-30 09:30:24,11.88,11.9,11.88,11.89,33000,39232600.0,11.88,11.87,11.86,11.85,11.84,11.89,11.9,11.91,11.92,11.93,43400,11800,24244,122600,49000,4800,89700,14700,18100,8900
2022-09-30 09:30:27,11.89,11.9,11.89,11.9,67000,79724900.0,11.89,11.88,11.87,11.86,11.85,11.9,11.91,11.92,11.93,11.94,100,24200,12800,26844,123100,28800,14700,18100,14500,22200
2022-09-30 09:30:30,11.89,11.9,11.88,11.9,58300,69322500.0,11.88,11.87,11.86,11.85,11.84,11.9,11.91,11.92,11.93,11.94,26500,10300,63244,123100,48800,26800,15600,18100,14500,22200
2022-09-30 09:30:33,11.9,11.9,11.89,11.89,67700,80514500.0,11.89,11.88,11.87,11.86,11.85,11.9,11.91,11.92,11.93,11.94,3600,29400,9900,64244,122800,13800,15600,18100,14500,22200
2022-09-30 09:30:36,11.9,11.9,11.88,11.88,13300,15816900.0,11.89,11.88,11.87,11.86,11.85,11.9,11.91,11.92,11.93,11.94,300,19300,9800,63844,122800,11000,16000,18100,14500,23000
2022-09-30 09:30:39,11.89,11.91,11.88,11.89,62200,73968100.0,11.89,11.88,11.87,11.86,11.85,11.9,11.91,11.92,11.93,11.94,300,25900,10500,63844,122800,200,14500,18100,14500,23000
2022-09-30 09:30:42,11.9,11.91,11.89,11.91,6700,7975600.0,11.89,11.88,11.87,11.86,11.85,11.9,11.91,11.92,11.93,11.94,6800,30900,11200,74544,121000,300,13400,28100,15600,23000
2022-09-30 09:30:45,11.9,11.91,11.89,11.9,19400,23083200.0,11.9,11.89,11.88,11.87,11.86,11.91,11.92,11.93,11.94,11.95,17500,1500,37000,11200,72844,3900,28100,15600,23000,131300
2022-09-30 09:30:48,11.9,11.91,11.9,11.9,18400,21902300.0,11.9,11.89,11.88,11.87,11.86,11.91,11.92,11.93,11.94,11.95,7500,400,47000,11200,72844,8000,28100,15600,23000,131300
2022-09-30 09:30:51,11.91,11.91,11.9,11.91,25000,29764500.0,11.9,11.89,11.88,11.87,11.86,11.91,11.92,11.93,11.94,11.95,16700,400,49000,11200,72944,12800,32000,16600,23000,131300
2022-09-30 09:30:54,11.9,11.91,11.9,11.91,21000,25002700.0,11.9,11.89,11.88,11.87,11.86,11.91,11.92,11.93,11.94,11.95,22300,1400,49300,6100,62544,8300,44100,16600,27200,131300
2022-09-30 09:30:57,11.9,11.91,11.9,11.9,21100,25116900.0,11.9,11.89,11.88,11.87,11.86,11.91,11.92,11.93,11.94,11.95,14800,3700,51800,18000,60044,21500,44100,17700,27200,132300
2022-09-30 09:31:00,11.91,11.91,11.9,11.91,76500,91089500.0,11.9,11.89,11.88,11.87,11.86,11.91,11.92,11.93,11.94,11.95,25800,4500,51300,20500,60144,9700,44100,17700,28700,132300
